Ticker;Sector;NAME;Year;PL;PT;DIR;LL_Consolidado;PR_all;PS_all;Legal Index;Leverage Index;Governance Index;Global Index;Legal Ranking;Governance Ranking;Leverage Ranking;Global Points;Global Ranking;LPA;Aplicações Financeiras;Caixa e Equivalentes de Caixa;Clientes;Despesas Financeiras;Despesas/Receitas Operacionais;Empréstimos e Financiamentos;Fornecedores;Imobilizado;Intangível;Investimentos;Outras Despesas Operacionais;Passivo Circulante;Passivo Não Circulante;Capacidade Financeira
TUPY3.SA;Bens Industriais;TUPY S.A.;2016;2007132032;2762673920;21749543,34;-181455008;149613000;821256000;-1,220948167;-0,273482108;-9,342934156;-3,01457815;106;106;65;95,75;102;-1,258548461;0;1203940;418963;-188451;-649462;328377;302497;1600394;330249;13297;-382503;1044562;1718112;1622903
MDNE3.SA;Consumo Cíclico;MOURA DUBEUX ENGENHARIA S/A;2020;999806976;1077453056;7000000;-104399000;9487000;81327000;-2,283694222;-0,072064467;-15,91414286;-5,138398942;167;163;52;137,25;152;-1,279648663;8573;49538;224841;-46919;-211280;63329;29502;7061;6783;320870;-121692;416187;661266;282952
EMBR3.SA;Bens Industriais;EMBRAER S.A.;2022;14736781312;38181543936;41896050,54;-1047212992;1444183000;2364180000;-1,442949772;-0,614033908;-25,99550622;-7,373859919;163;177;135;159,5;171;-1,298139343;2579508;9479949;1324042;-1337822;-5265566;1609856;4001615;8944690;11721435;64196;-3467520;16786744;21394800;13383499
VALE3.SA;Materiais Básicos;VALE S.A.;2019;1,57149E+11;2,12521E+11;96337967,58;-8696040448;5895000000;48116000000;-1,180730743;-0,26054665;-91,2659737;-23,47199546;137;151;65;122,5;131;-1,301037224;0;29627092;10195059;-15536478;-62564583;5804801;16555739;187733155;34256976;11277871;-37194001;55805644;156715331;39822151
MRFG3.SA;Consumo não Cíclico;MARFRIG GLOBAL FOODS S.A.;2016;1100802048;19158001664;27064052,14;-632766976;87739000;1644698000;-1,384731407;-0,942540873;-24,38034869;-7,023088094;112;116;118;114,5;121;-1,303775106;1986936;3291705;790468;-4339175;-1162910;1466538;2002757;4060633;2815130;16268;0;7382969;11775032;6069109
ELET3.SA;Utilidade Pública;CENTRAIS ELET BRAS S.A. - ELETROBRAS;2017;42752532480;1,30223E+11;11861544,38;-1725691008;24552350000;70489407000;-1,024481565;-0,671697091;-146,4861992;-37,30171484;103;125;98;107,25;113,5;-1,30397792;6924358;2122128;4662368;-10344671;-17509488;6214897;10443752;27965837;749762;28708364;0;34186952;96035875;13708854
GGBR3.SA;Materiais Básicos;GERDAU S.A.;2016;24274653184;30360487936;5443491,16;-2885928960;2239226000;9750394000;-1,295980753;-0,200452469;-531,1614121;-133,4884565;109;122;57;99,25;105;-1,349818813;1024411;5063383;3576699;-2048935;-5100086;4458220;2743818;19351891;10789957;798844;-172453;8621509;21738979;9664493
SMFT3.SA;Consumo Cíclico;SMARTFIT ESCOLA DE GINÁSTICA E DANÇA S.A.;2020;2468801024;6023693824;9291169,48;-604428032;5769000;34333000;-18,60487088;-0,590151642;-66,0540315;-25,96348123;179;173;123;163,5;172;-1,351369157;0;1019611;154220;-474202;-383322;277652;139752;5152020;1540880;123716;-41254;1084592;4939102;1173831
VSTE3.SA;Consumo Cíclico;VESTE S.A. ESTILO;2014;1803790976;1577886976;8995529,36;-4477000;84896000;19873000;-1,225280531;0,143168683;-1,497691667;-0,951271012;97;92;34;80;90;-1,358909493;98262;445808;115024;-173516;-407143;481443;138804;435215;1897314;0;-86569;781836;796051;659094
SMFT3.SA;Consumo Cíclico;SMARTFIT ESCOLA DE GINÁSTICA E DANÇA S.A.;2021;4429292032;7225180160;14660823,92;-633017024;26544000;15406000;-42,08899286;-0,386964486;-44,1774522;-32,1856006;183;180;98;161;173;-1,362134984;1761801;1957828;195777;-543711;-473387;488720;200936;5507417;1519758;127228;0;1428918;5796262;3915406
PFRM3.SA;Saúde;PROFARMA DISTRIB PROD FARMACEUTICOS S.A.;2014;688851008;1139363968;3831551,04;-52388000;28037000;135527000;-1,386550281;-0,395407414;-14,67279189;-4,460324968;99;98;69;91,25;97;-1,385319276;0;174097;462639;-100878;-412061;181010;535714;52909;257975;80798;-66695;782674;356690;636736
VULC3.SA;Consumo Cíclico;VULCABRAS S.A.;2013;133474000;1134086016;9590000;-126685000;83281000;96777000;-2,309040371;-0,882306987;-14,2101147;-4,927625608;102;102;106;103;106;-1,398377535;10024;46672;354863;-142442;-285053;375169;80648;248746;226800;29525;0;609147;524939;411559
BRFS3.SA;Consumo não Cíclico;BRF S.A.;2017;11712782336;33515698176;99689814,27;-1098854016;1773205000;13278353000;-1,082755295;-0,65052847;-12,0227311;-3,709692539;107;112;96;105,5;111;-1,403286638;228430;6010829;3919022;-3627261;-6167928;5031351;7160675;12190583;7197636;68195;-1253669;14907874;18607825;10158281
SCAR3.SA;Financeiro;SAO CARLOS EMPREEND E PARTICIPACOES S.A.;2022;1487294976;2032144000;23454000;-82926000;139000;40025000;-3,071855091;-0,268115362;-4,535686876;-2,736878105;178;159;81;149;157;-1,412050131;178794;18439;59566;-231524;-83556;163093;0;31286;11059;2802232;0;233240;1798904;256799
MRFG3.SA;Consumo não Cíclico;MARFRIG GLOBAL FOODS S.A.;2014;2071725056;18114183168;24790655,4;-720292992;40448000;995696000;-1,723406534;-0,885629673;-30,05502014;-8,596865721;101;102;105;102,25;104;-1,42125116;1567112;1091685;1618760;-3202572;-1580717;1730048;2028303;5103763;3004709;36934;0;4662465;13451718;4277557
LOGN3.SA;Bens Industriais;LOG-IN LOGISTICA INTERMODAL S.A.;2012;530067008;1362680064;4626800;-24841000;16400000;122417000;-1,202921163;-0,611011402;-6,368937495;-2,346447806;97;95;84;93,25;97;-1,448118386;72782;36920;93920;-95326;-7314;110387;54752;1282222;63842;5;-26337;247181;1115499;203622
BIOM3.SA;Saúde;BIOMM S.A.;2016;65929000;171456000;9863350,97;-45608000;1000;1000;-45609;-0,615475691;-5,623986325;-22806,05987;124;101;91;110;118;-1,479482272;30737;7833;0;-40410;-32655;4177;11530;147148;29402;0;-5062;19723;151733;38570
CBAV3.SA;Materiais Básicos;COMPANHIA BRASILEIRA DE ALUMÍNIO;2020;3740133120;7470812160;12608313,93;-879859968;339714000;2939633000;-1,299309461;-0,499367266;-70,78411014;-18,47052408;151;175;101;144,5;158;-1,510726473;732189;632438;474715;-629088;-149307;72644;425951;5121736;531263;198774;0;1990663;5480149;1839342
GOAU3.SA;Materiais Básicos;METALURGICA GERDAU S.A.;2016;23354347520;31404621824;1953595,73;-3165249024;2239226000;9750394000;-1,324627807;-0,256340431;-1621,217006;-406,0306504;111;123;62;101,75;109,5;-1,518755046;1024411;5140117;3576699;-2338901;-5108498;4493944;2743839;19352527;10789957;798844;-3095925;9047092;22357529;9741227
LIGT3.SA;Utilidade Pública;LIGHT S.A. - EM RECUPERAÇÃO JUDICIAL;2016;3353796096;10976433152;23391801;-312936992;259698000;4125076000;-1,075862116;-0,694454833;-14,37806319;-4,306060565;101;111;103;104;115;-1,534500907;13467;668304;2271871;-945047;-1088672;1946327;1341800;1638441;3736484;664440;-83048;4871405;6105028;2953642
PFRM3.SA;Saúde;PROFARMA DISTRIB PROD FARMACEUTICOS S.A.;2017;745932032;1873560064;6474000;-112720000;105250000;243592000;-1,462740977;-0,601863828;-18,41118319;-5,484632244;113;116;89;107,75;115;-1,548950833;0;193172;463257;-163331;-712233;715867;697801;136014;681883;76688;-56248;1576748;296812;656429
AMER3.SA;Consumo Cíclico;AMERICANAS S.A. - EM RECUPERAÇÃO JUDICIAL;2015;2706132992;7242268160;25433897;-418436992;213811000;23055000;-19,14951169;-0,626341785;-17,45194175;-14,09432673;114;99;89;104;108;-1,632099936;2239205;329424;858431;-1204129;-1375373;554553;2200722;565965;2682780;0;41897;3262136;3980132;3427060
