product_id;product;description;date_period;mes;ano;cost_real;qtd_real;cost_unit;dias_uteis;qtd_dia;qtd_dia_10000;varia_dia_media;varia_dia_abs;qtd_med;desv_pad
1038;67484C;LUBRAX HYDRA 68 BD-20L;01/06/2024;6;2024;0;0;0;20;0,00000;0;0;0;0,00000;0,00000
1039;67553T;LUBRAX VALORA 5W30 SN1-LITRO;01/01/2024;1;2024;0;0;0;22;0,00000;0;0;0;0,00000;0,00000
1039;67553T;LUBRAX VALORA 5W30 SN1-LITRO;01/02/2024;2;2024;0;0;0;19;0,00000;0;0;0;0,00000;0,00000
1039;67553T;LUBRAX VALORA 5W30 SN1-LITRO;01/03/2024;3;2024;0;0;0;21;0,00000;0;0;0;0,00000;0,00000
1039;67553T;LUBRAX VALORA 5W30 SN1-LITRO;01/04/2024;4;2024;0;0;0;22;0,00000;0;0;0;0,00000;0,00000
1039;67553T;LUBRAX VALORA 5W30 SN1-LITRO;01/05/2024;5;2024;0;0;0;22;0,00000;0;0;0;0,00000;0,00000
1039;67553T;LUBRAX VALORA 5W30 SN1-LITRO;01/06/2024;6;2024;0;0;0;20;0,00000;0;0;0;0,00000;0,00000
1040;67557X;LUBRAX ESSENCIAL 4T SL 20W50 1-LITRO;01/01/2024;1;2024;0;0;0;22;0,00000;0;0;0;0,00000;0,00000
1040;67557X;LUBRAX ESSENCIAL 4T SL 20W50 1-LITRO;01/02/2024;2;2024;0;0;0;19;0,00000;0;0;0;0,00000;0,00000
1040;67557X;LUBRAX ESSENCIAL 4T SL 20W50 1-LITRO;01/03/2024;3;2024;0;0;0;21;0,00000;0;0;0;0,00000;0,00000
1040;67557X;LUBRAX ESSENCIAL 4T SL 20W50 1-LITRO;01/04/2024;4;2024;0;0;0;22;0,00000;0;0;0;0,00000;0,00000
1040;67557X;LUBRAX ESSENCIAL 4T SL 20W50 1-LITRO;01/05/2024;5;2024;0;0;0;22;0,00000;0;0;0;0,00000;0,00000
1040;67557X;LUBRAX ESSENCIAL 4T SL 20W50 1-LITRO;01/06/2024;6;2024;0;0;0;20;0,00000;0;0;0;0,00000;0,00000
1041;67558Y;LUBRAX ESSENCIAL 2T FC 500-ML;01/01/2024;1;2024;7827;9;869;22;0,40909;4090;0;0;5,66667;2,94392
1041;67558Y;LUBRAX ESSENCIAL 2T FC 500-ML;01/02/2024;2;2024;3578;4;894;19;0,21053;2105;5146;4444;5,66667;2,94392
1041;67558Y;LUBRAX ESSENCIAL 2T FC 500-ML;01/03/2024;3;2024;888;1;887;21;0,04762;476;2261;2500;5,66667;2,94392
1041;67558Y;LUBRAX ESSENCIAL 2T FC 500-ML;01/04/2024;4;2024;6162;7;880;22;0,31818;3181;66818;70000;5,66667;2,94392
1041;67558Y;LUBRAX ESSENCIAL 2T FC 500-ML;01/05/2024;5;2024;4412;5;882;22;0,22727;2272;7142;7142;5,66667;2,94392
1041;67558Y;LUBRAX ESSENCIAL 2T FC 500-ML;01/06/2024;6;2024;7113;8;889;20;0,40000;4000;17600;16000;5,66667;2,94392
1042;67559Z;LUBRAX AVANTE 10W40 CI4 SINTENT 1-LITRO;01/01/2024;1;2024;0;0;0;22;0,00000;0;0;0;0,00000;0,00000
1042;67559Z;LUBRAX AVANTE 10W40 CI4 SINTENT 1-LITRO;01/02/2024;2;2024;0;0;0;19;0,00000;0;0;0;0,00000;0,00000
1042;67559Z;LUBRAX AVANTE 10W40 CI4 SINTENT 1-LITRO;01/03/2024;3;2024;0;0;0;21;0,00000;0;0;0;0,00000;0,00000
1042;67559Z;LUBRAX AVANTE 10W40 CI4 SINTENT 1-LITRO;01/04/2024;4;2024;0;0;0;22;0,00000;0;0;0;0,00000;0,00000
1042;67559Z;LUBRAX AVANTE 10W40 CI4 SINTENT 1-LITRO;01/05/2024;5;2024;0;0;0;22;0,00000;0;0;0;0,00000;0,00000
1042;67559Z;LUBRAX AVANTE 10W40 CI4 SINTENT 1-LITRO;01/06/2024;6;2024;0;0;0;20;0,00000;0;0;0;0,00000;0,00000
1043;67561B;LUBRAX AVANTE 10W40 CI4 SINTETICO BD-20L;01/01/2024;1;2024;0;0;0;22;0,00000;0;0;0;0,00000;0,00000
