product_id;product;description;date_period;mes;ano;cost_real;qtd_real;cost_unit
1114;150068J;LUBRAX GOLD GL-5 85W140 BD-20L;01/01/2024;1;2024;0;0;0
1115;150069K;LUBRAX GOLD GL-5 75W90BD-20L;01/01/2024;1;2024;36451,58;26;1401
1116;150073O;LUBRAX GRAXA CLAY 2 BD-20KG;01/01/2024;1;2024;2284,77;3;761
1117;150074P;LUBRAX GRAXA LITH SM 2BD-20KG;01/01/2024;1;2024;0;0;0
1118;150081W;LUBRAX GEAR 150 TB-200L;01/01/2024;1;2024;0;0;0
1119;150082X;LUBRAX GEAR 460 TB-200L;01/01/2024;1;2024;0;0;0
1120;150083Y;LUBRAX GEAR 680 BD-20L;01/01/2024;1;2024;14041;19;739
1121;150084Z;LUBRAX GL-5 80W90 TB-200L;01/01/2024;1;2024;0;0;0
1122;150086B;LUBRAX TRM-4 GL-4 80W TB-200L;01/01/2024;1;2024;0;0;0
1123;150087C;LUBRAX GRANS THF 20W30 TB-200L;01/01/2024;1;2024;0;0;0
1124;150088D;LUBRAX COMPSOR AC 68 BD-20L;01/01/2024;1;2024;5702,44;13;438
1125;150090F;LUBRAX COMPSOR AC 100 BD-20L;01/01/2024;1;2024;0;0;0
1126;150092H;LUBRAX GEAR 220 TB-200L;01/01/2024;1;2024;0;0;0
1127;150093I;LUBRAX GEAR 680 TB-200L;01/01/2024;1;2024;0;0;0
1128;150094J;LUBRAX GL-5 LS SAE 90BD-20L;01/01/2024;1;2024;4437;4;1109
1129;150095K;LUBRAX GRAXA LITHPLUS SM 2 BD-20KG;01/01/2024;1;2024;2590,96;2;1295
1130;150879O;LUBRAX GRANS HR 10WBD-20L;01/01/2024;1;2024;2586,12;4;646
1131;150880P;LUBRAX GRANS HR 10W TB-200L;01/01/2024;1;2024;0;0;0
1132;152075O;LUBRAX GRAXA LITHPLUS SM 2 TB-170KG;01/01/2024;1;2024;0;0;0
1133;152318X;LUBRAX COMPSOR AC 32 BD-20L;01/01/2024;1;2024;0;0;0
1134;152380H;LUBRAX GOLD XP 75W80 BD-20L;01/01/2024;1;2024;1506,83;1;1506
1135;152550V;LUBRAX GRANS TAC 450 TB-200L;01/01/2024;1;2024;0;0;0
1136;153048Z;LUBRAX COMPSOR PG 46 BD-20L;01/01/2024;1;2024;0;0;0
1137;154080R;LUBRAX VALORA 5W30 SN TB-200L;01/01/2024;1;2024;0;0;0
1138;161261W;LUBRAX HYDRA HV 68TB-200L;01/01/2024;1;2024;0;0;0
1139;161264Z;LUBRAX HYDRA HV 68BD-20L;01/01/2024;1;2024;0;0;0
1140;165167C;LUBRAX TRM 5 HD 40 BD-20L;01/01/2024;1;2024;7200;10;720
1141;165513K;LUBRAX GRAXA LITHPLUS HV 2 BD-20KG;01/01/2024;1;2024;0;0;0
1142;165514L;LUBRAX GRAXA ALUMINUM FG 2 BD-10KG;01/01/2024;1;2024;9818,62;2;4909
1143;165515M;LUBRAX GRAXA POLYTEC 2BD-10KG;01/01/2024;1;2024;1778;2;889
1144;165516N;LUBRAX GRAXA NEO SC 2BD-20KG;01/01/2024;1;2024;0;0;0
1145;165517O;LUBRAX GRAXA CALCIUM ECO 2 BD-20KG;01/01/2024;1;2024;0;0;0
1146;165518P;LUBRAX TRM 5 HD SAE 30 BD-20L;01/01/2024;1;2024;0;0;0
1147;165520R;LUBRAX UNITRACTOR PREMIUM 10W30 TB-200L;01/01/2024;1;2024;0;0;0
1148;165521S;LUBRAX EXTREMO HD E6-12 5W30 BD-20L;01/01/2024;1;2024;1140,77;1;1140
1149;165731U;LUBRAX ESSENCIAL SL 20W50 1-LITRO;01/01/2024;1;2024;304083,54;630;482
1150;166020X;LUBRAX UNITRACTOR 10W30 MINERAL TB-200L;01/01/2024;1;2024;14088,53;3;4696
1151;166082H;LUBRAX ESSENCIAL 20W50 SL3-LITROS;01/01/2024;1;2024;17163,52;47;365
1152;166229Y;LUBRAX TURBO CH-4 15W401-LITRO;01/01/2024;1;2024;0;0;0
1153;166662P;LUBRAX NAUTICA DIESEL 15W40 BD-20L;01/01/2024;1;2024;0;0;0
1154;166676D;LUBRAX TURBO CH-4 15W403-LITROS;01/01/2024;1;2024;0;0;0
1155;166678F;LUBRAX ESSENCIAL 20W50 SL500-ML;01/01/2024;1;2024;8153,86;18;452
1156;169449U;LUBRAX TURBINA PLUS 68 BD-20L;01/01/2024;1;2024;0;0;0
1157;169450V;LUBRAX HYDRA HV 32BD-20L;01/01/2024;1;2024;0;0;0
1158;169451W;LUBRAX HYDRA HV 46 BD-20L;01/01/2024;1;2024;0;0;0
1159;169452X;LUBRAX GRAXA CALCIUM GR 2BD-20KG;01/01/2024;1;2024;12042,64;22;547
1160;169453Y;LUBRAX GRAXA LITH EP 1 BD-20KG;01/01/2024;1;2024;1510;2;755
1161;169454Z;LUBRAX GRAXA LITH 3 BD-20KG;01/01/2024;1;2024;0;0;0
1162;169456B;LUBRAX GRAXA BETUMEN FLD 250 BD-20KG;01/01/2024;1;2024;509;1;509
1163;169457C;LUBRAX GRAXA BETUMEN FLD 500 BD-20KG;01/01/2024;1;2024;0;0;0
1164;169458D;LUBRAX GRAXA LITHPLUS EP 2 BD-20KG;01/01/2024;1;2024;4860,26;5;972
1165;169459E;LUBRAX HYDRA XP 150BD-20L;01/01/2024;1;2024;0;0;0
1166;169462H;LUBRAX TURBINA 22TB-200L;01/01/2024;1;2024;0;0;0
1167;169470P;LUBRAX GEAR 68 BD-20L;01/01/2024;1;2024;0;0;0
1168;169471Q;LUBRAX GEAR 68 TB-200L;01/01/2024;1;2024;0;0;0
1169;169473S;LUBRAX GEAR 1000 BD-20L;01/01/2024;1;2024;0;0;0
1170;169474T;LUBRAX UTILE DE 22 BD-20L;01/01/2024;1;2024;0;0;0
1171;169477W;LUBRAX HYDRA XP 100 TB-200L;01/01/2024;1;2024;0;0;0
1172;169479Y;LUBRAX TURBINA 220 TB-200L;01/01/2024;1;2024;0;0;0
1173;169480Z;LUBRAX COMPSOR RF 32 BD-20L;01/01/2024;1;2024;0;0;0
1174;169487G;LUBRAX COMPSOR PAO 46 BD-20L;01/01/2024;1;2024;0;0;0
1175;169492L;LUBRAX COMPSOR PAO 68BD-20L;01/01/2024;1;2024;0;0;0
1176;169495O;LUBRAX GRAXA CALCIUM ZN 1BD-20KG;01/01/2024;1;2024;0;0;0
1177;169524R;LUBRAX HYDRA XP 32TB-200L;01/01/2024;1;2024;0;0;0
1178;171866T;LUBRAX SUPERA FLEX 5W40 SN 1-LITRO;01/01/2024;1;2024;0;0;0
1179;173152F;LUBRAX MARBRAX CCD310 Bl BD-20L;01/01/2024;1;2024;0;0;0
